corridor_id,camera_id,vehicle_id,from_frame,to_frame,from_camera,to_camera,description,class
0,c010,1,0.0,125.0,c016,c010,white subaru outback,2
0,c010,2,,77.0,,c016,gray ram suv,2
0,c010,3,11.0,182.0,c016,c010,gray chevy suv,2
0,c010,4,17.0,248.0,c010,c016,red mercury sedan,2
0,c010,5,138.0,377.0,c010,c016,blue ford suv,2
0,c010,6,159.0,360.0,c016,c010,black nissan suv,2
0,c010,7,350.0,377.0,c016,c010,blue ford sedan,2
0,c010,8,424.0,611.0,c010,c016,black jeep wrangler,2
0,c010,9,531.0,681.0,c010,c016,charcoal chevy suburban,2
0,c010,10,549.0,715.0,c010,c016,red chevy pickup,2
0,c010,11,611.0,763.0,c010,c016,white subaru outback,2
0,c010,12,837.0,962.0,c016,c010,white chrystler minivan,2
0,c010,13,1200.0,1334.0,c016,c010,black gmc suv,2
0,c010,14,1257.0,1334.0,c010,c010,gray toyota rav4,2
0,c010,15,1509.0,1645.0,c016,c010,blue chevy suv,2
0,c010,16,1536.0,1702.0,c010,c016,tan saab sedan,2
0,c010,17,1600.0,1702.0,c016,c010,gray chevy sedan,2
0,c010,18,1720.0,1842.0,c016,c010,black chevy sedan,2
0,c010,19,1796.0,1819.0,c016,c010,tan ford sedan,2
0,c010,20,2066.0,2173.0,c016,c010,gray nissan suv,2
0,c010,21,2104.0,2226.0,c010,c016,red chevy suburban,2
0,c010,22,2134.0,2205.0,c016,c010,red ram minivan,2
0,c010,23,2185.0,2252.0,c016,c010,black ford pickup,2
0,c010,24,2509.0,2602.0,c016,c010,blue chevy pickup,2
0,c010,25,2543.0,2628.0,c010,c016,tan subaru sedan,2
0,c010,26,2578.0,2628.0,c016,c010,white buick suv,2
0,c010,27,2645.0,2704.0,c016,c010,tan chevy sedan,2
0,c010,28,2645.0,2753.0,c010,c016,red subaru forester,2
0,c010,29,2753.0,2886.0,c010,c016,gray toyota sedan,2
0,c010,30,3072.0,3153.0,c010,c016,yellow sedan,2
0,c010,31,3160.0,3230.0,c010,c016,red ford pickup,2
0,c010,32,3160.0,3225.0,c016,c010,black chevy pickup,2
0,c010,33,3216.0,3293.0,c010,c016,gray toyota minivan,2
0,c010,34,3259.0,3327.0,c010,c016,silver chevy pickup,2
0,c010,35,3293.0,3358.0,c010,c016,white subaru sedan,2
0,c010,36,3366.0,3411.0,c016,c010,green chevy car,2
0,c010,37,3811.0,3892.0,c010,c016,tan toyota rav4,2
0,c010,38,3884.0,3955.0,c010,c016,gray mazda suv,2
0,c010,39,3984.0,4046.0,c016,c010,black toyota sedan,2
0,c010,40,4025.0,4067.0,c016,c010,black mazda sedan,2
0,c016,41,,0.0,,c016,red ford suv,2
0,c016,42,61.0,125.0,c016,c017,black chevy pickup,2
0,c016,2,181.0,247.0,c016,c017,gray ram suv,2
0,c016,43,255.0,311.0,c017,c016,gray toyota rav4,2
0,c016,44,278.0,328.0,c017,c016,blue jeep cherokee,2
0,c016,45,309.0,353.0,c017,c016,gray honda sedan,2
0,c016,46,439.0,480.0,c017,c016,blue honda crv,2
0,c016,47,446.0,496.0,c016,c017,gray bmw suv,2
0,c016,48,563.0,630.0,c016,c017,white gmc suv,2
0,c016,5,590.0,669.0,c016,c017,blue ford suv,2
0,c016,49,716.0,789.0,c016,c017,silver ram pickup,2
0,c016,50,738.0,823.0,c016,c017,red chevy pickup,2
0,c016,51,767.0,823.0,c016,c017,black buick sedan,2
0,c016,52,830.0,874.0,c017,c016,gray toyota sedan,2
0,c016,53,840.0,876.0,c016,c017,gray kia sedan,2
0,c016,54,888.0,942.0,c017,c016,white chevy suv,2
0,c016,13,905.0,942.0,c017,c016,black gmc suv,2
0,c016,9,926.0,980.0,c016,c017,charcoal chevy suburban,2
0,c016,10,926.0,968.0,c016,c017,red chevy pickup,2
0,c016,56,949.0,991.0,c017,c016,blue ford sedan,2
0,c016,11,968.0,1016.0,c016,c017,white subaru outback,2
0,c016,57,968.0,1020.0,c017,c016,red ford suv,2
0,c016,58,1006.0,1059.0,c017,c016,blue gmc suv,2
0,c016,59,1035.0,1080.0,c017,c016,black jeep cherokee,2
0,c016,15,1150.0,1207.0,c017,c016,blue chevy suv,2
0,c016,60,1184.0,1236.0,c017,c016,blue jeep suv,2
0,c016,17,1292.0,1331.0,c017,c016,gray chevy sedan,2
0,c016,18,1355.0,1405.0,c017,c016,black chevy sedan,2
0,c016,61,1454.0,1499.0,c017,c016,red jeep suv,2
0,c016,62,1579.0,1618.0,c017,c016,blue honda crv,2
0,c016,63,1638.0,1680.0,c017,c016,silver hyundai suv,2
0,c016,64,1680.0,1731.0,c016,c017,police car,2
0,c016,20,1693.0,1744.0,c017,c016,gray nissan suv,2
0,c016,22,1744.0,1803.0,c017,c016,red ram minivan,2
0,c016,23,1762.0,1818.0,c017,c016,black ford pickup,2
0,c016,16,1901.0,1946.0,c016,c017,tan saab sedan,2
0,c016,65,2068.0,2109.0,c016,c017,gray jeep wrangler,2
0,c016,66,2109.0,2145.0,c017,c016,black nissan suv,2
0,c016,67,2145.0,2189.0,c017,c016,white chrystler minivan,2
0,c016,26,2155.0,2189.0,c017,c016,white buick suv,2
0,c016,68,2205.0,2247.0,c017,c016,tan chevy sedan,2
0,c016,69,2232.0,2266.0,c017,c016,blue saab sedan,2
0,c016,70,2266.0,2319.0,c017,c016,white kia suv,2
0,c016,71,2303.0,2352.0,c017,c016,gray chevy pickup,2
0,c016,72,2319.0,2364.0,c017,c016,blue ford suv,2
0,c016,73,2352.0,2400.0,c017,c016,blue hyundai suv,2
0,c016,74,2645.0,2686.0,c017,c016,white sedan,2
0,c016,75,2656.0,2693.0,c017,c016,black chevy sedan,2
0,c016,76,2709.0,2746.0,c017,c016,blue ford suv,2
0,c016,77,2780.0,2836.0,c016,c017,red ram minivan,2
0,c016,78,2817.0,2853.0,c017,c016,blue honda sedan,2
0,c016,79,2827.0,2864.0,c017,c016,red jeep cherokee,2
0,c016,80,2836.0,2873.0,c017,c016,white ford pickup,2
0,c016,36,2905.0,2957.0,c017,c016,green chevy car,2
0,c016,27,2915.0,2970.0,c016,c017,tan chevy sedan,2
0,c016,81,2970.0,3024.0,c016,c017,black honda sedan,2
0,c016,28,3059.0,3097.0,c016,c017,red subaru forester,2
0,c016,82,3104.0,3153.0,c017,c016,gray ford fusion,2
0,c016,29,3221.0,3270.0,c016,c017,gray toyota sedan,2
0,c016,83,3235.0,3279.0,c017,c016,blue chevy pickup,2
0,c016,84,3263.0,3297.0,c016,c017,black chevy pickup,2
0,c016,85,3279.0,3317.0,c017,c016,red ram suv,2
0,c016,86,3305.0,3341.0,c017,c016,black sedan,2
0,c016,87,3341.0,3377.0,c016,c017,gray toyota suv,2
0,c016,88,3448.0,3489.0,c017,c016,red ford pickup,2
0,c016,30,3461.0,3507.0,c016,c017,yellow sedan,2
0,c016,89,3461.0,3495.0,c017,c016,black jeep wrangler,2
0,c016,90,3489.0,3530.0,c016,c017,gray hyundai suv,2
0,c016,92,3507.0,3555.0,c017,c016,black buick suv,2
0,c016,91,3502.0,3535.0,c016,c017,red ford pickup,2
0,c016,93,3535.0,3585.0,c017,c016,gray nissan suv,2
0,c016,39,3548.0,3594.0,c017,c016,black toyota sedan,2
0,c016,40,3585.0,3620.0,c017,c016,black mazda sedan,2
0,c016,33,3594.0,3647.0,c016,c017,gray toyota minivan,2
0,c016,34,3620.0,3684.0,c016,c017,silver chevy pickup,2
0,c016,35,3647.0,3684.0,c016,c017,white subaru sedan,2
0,c016,94,3733.0,3774.0,c016,c017,gray ford suv,2
0,c016,95,3822.0,3875.0,c016,c017,silver chevy suv,2
0,c016,96,3842.0,3875.0,c017,c016,black ford pickup,2
0,c016,98,3842.0,3893.0,c017,c016,silver ram pickup,2
0,c016,97,3860.0,3893.0,c017,c016,white subaru outback,2
0,c016,99,3875.0,3913.0,c017,c016,silver nissan sedan,2
0,c016,100,3930.0,,c017,,black ford suv,2
0,c017,101,0.0,17.0,c018,c016,black honda suv,2
0,c017,102,25.0,46.0,c016,c018,blue saab sedan,2
0,c017,103,152.0,186.0,c018,c016,gray chrystler sedan,2
0,c017,104,176.0,208.0,c018,c016,red jeep cherokee,2
0,c017,47,243.0,264.0,c016,c018,gray bmw suv,2
0,c017,48,341.0,357.0,c016,c018,white gmc suv,2
0,c017,43,474.0,498.0,c018,c016,gray toyota rav4,2
0,c017,49,498.0,506.0,c016,c018,silver ram pickup,2
0,c017,50,521.0,537.0,c016,c018,red chevy pickup,2
0,c017,45,545.0,570.0,c018,c016,gray honda sedan,2
0,c017,51,552.0,563.0,c016,c018,black buick sedan,2
0,c017,46,670.0,695.0,c018,c016,blue honda crv,2
0,c017,53,672.0,684.0,c016,c018,gray kia sedan,2
0,c017,52,1048.0,1071.0,c018,c016,gray toyota sedan,2
0,c017,54,1107.0,1129.0,c018,c016,white chevy suv,2
0,c017,56,1172.0,1187.0,c018,c016,blue ford sedan,2
0,c017,57,1228.0,1253.0,c018,c016,red ford suv,2
0,c017,58,1244.0,1274.0,c018,c016,blue gmc suv,2
0,c017,59,1269.0,1296.0,c018,c016,black jeep cherokee,2
0,c017,105,1412.0,1421.0,c016,c018,tan chevy sedan,2
0,c017,44,1433.0,1455.0,c018,c016,blue jeep cherokee,2
0,c017,64,1484.0,1499.0,c016,c018,police car,2
0,c017,61,1700.0,1728.0,c018,c016,red jeep suv,2
0,c017,62,1792.0,1810.0,c018,c016,blue honda crv,2
0,c017,65,1886.0,1894.0,c016,c018,gray jeep wrangler,2
0,c017,63,1901.0,1925.0,c018,c016,silver hyundai suv,2
0,c017,106,2305.0,2338.0,c018,c016,white chrystler suv,2
0,c017,66,2338.0,2362.0,c018,c016,black nissan suv,2
0,c017,67,2392.0,2419.0,c018,c016,white chrystler minivan,2
0,c017,68,2419.0,2438.0,c018,c016,tan chevy sedan,2
0,c017,69,2455.0,2474.0,c018,c016,blue saab sedan,2
0,c017,70,2488.0,2507.0,c018,c016,white kia suv,2
0,c017,71,2547.0,2576.0,c018,c016,gray chevy pickup,2
0,c017,77,2567.0,2586.0,c016,c018,red ram minivan,2
0,c017,72,,2586.0,,c016,blue ford suv,2
0,c017,73,2586.0,2602.0,c018,c016,blue hyundai suv,2
0,c017,107,2763.0,2774.0,c016,c018,blue sedan,2
0,c017,74,2852.0,2872.0,c018,c016,white sedan,2
0,c017,75,2872.0,2889.0,c018,c016,black chevy sedan,2
0,c017,76,2931.0,2946.0,c018,c016,blue ford suv,2
0,c017,78,3030.0,3050.0,c018,c016,blue honda sedan,2
0,c017,84,3030.0,3041.0,c016,c018,black chevy pickup,2
0,c017,79,3044.0,3064.0,c018,c016,red jeep cherokee,2
0,c017,80,3064.0,3085.0,c018,c016,white ford pickup,2
0,c017,87,3167.0,3180.0,c016,c018,gray toyota suv,2
0,c017,90,3251.0,3267.0,c016,c018,gray hyundai suv,2
0,c017,82,3365.0,3386.0,c018,c016,gray ford fusion,2
0,c017,83,3438.0,3457.0,c018,c016,blue chevy pickup,2
0,c017,85,3498.0,3522.0,c018,c016,red ram suv,2
0,c017,138,3526.0,3535.0,c016,c018,green ford suv,2
0,c017,108,3526.0,3548.0,c018,c016,red mazda sedan,2
0,c017,95,3624.0,3636.0,c016,c018,silver chevy suv,2
0,c017,88,3673.0,3698.0,c018,c016,red ford pickup,2
0,c017,89,3695.0,3717.0,c018,c016,black jeep wrangler,2
0,c017,92,3736.0,3756.0,c018,c016,black buick suv,2
0,c017,109,3745.0,3756.0,c016,c018,red ford sedan,2
0,c017,93,3762.0,3781.0,c018,c016,gray nissan suv,2
0,c018,110,0.0,6.0,c020,c017,red gmc suv,2
0,c018,111,15.0,22.0,c020,c017,gray sedan,2
0,c018,112,34.0,44.0,c020,c017,white mustang,2
